,message
43,"<s>[INST] E-eh? Alice muttered. She was thoroughly surprised by the question. ""B-but, I, eh, ah, umm..."" The girl stuttered, unable to think of any response as Rhadamanthus turned to address his subordinated before talking to the werewolf. She took a sharp bre [/INST] ath before the Mahzok faced her again, arm extended in front of her. ""I..I'll come with you,"" she quickly answered, taking the arm and standing up. Following the older man, Alice occasionally looked back, worried that the werewolf followed after them. </s>"
44,"<s>[INST] I can feel them now. Meira answered Selest as she concentrated hard to sense the eluding Elan particles that filled the air. Meira could feel a tingling situation all over her body as the particles nudge her entire body as she drew them in. She could feel their power inside her body even if the particles weren't drawn into her body yet. She then felt a more sensitive tingle toward her body in which she could feel the particles entering and exiting her body. The particles had a certain gentleness to them which made her feel at ease as she continued to conjure them into and out of her body. Meira opened her eyes as she realized she had finally done it. That she had finally succeeded in detecting the Elan particles in the air of the unknown location she was still at. She stood up from her pillow and jump in excitement as she exclaimed in joy, ""I finally did it, Selest! I finally was able to feel them!:""
""Great job."" Selest praised her as she rose to her two feet and patted her on the shoulder. Selest was very proud of Meira since she had finally unlocked her ability to use Elan. This new special hidden power inside of Meira would take her magic to even further heights which Selest knew. Selest knew it was about time for Meira to return to where she came from. She walked over and embraced Meira tight with her body gesturing a farewell to her. Meira shook her head and didn't want to say farewell yet, but Selest insisted that she needed to go now. She felt her first day training was complete and they'd continue her training at another time. Before she sent Meira on her way, she showed Meira a special orb inside her body. When Meira tried to speak out of shock she held her index finger to her lips silencing her. Shaking her head she told [/INST] Meira in time she would learn what that orb was as she returned the orb she extracted from Meira's body back into her body.
Selest told Meira to close her eyes and when she did, Meira's entire mind went blank with darkness. She continued to toss and turn on the ground from the dream she was having until she slowly opened her eyes. When her eyes began to open, the room become more in focus as it became even more visual to her. She turned her head left and right to look around only to notice she was on a cold solid floor. She looked to see if she still had on the kimono only to notice that she was wearing her original clothes again. She stood up still resting on the ground as she questioned in the room, ""Ooohhh... Why does my head feel so out of place?"" She moaned for a moment as she tried to shake off the groggy feeling she felt. She would then continue as that feeling left her, ""Where am I and what am I doing on this floor?"" Meira said as she finally became alert after her dream had ended. She had no idea how long she had been out for and she knew the floor was certainly cold, hard an very uncomfortable. She remembered fragments of her dream though it all seemed so scrambled in her mind.
Meanwhile Ranathia was busy cooking the two a meal on the stove. She was about to adjust the temperatures when she heard a knock at the door. She told her maid to look after the food while she went to the door. The maid offered to answer the door, but Ranathia refused.It didn't take long for Ranathia to reach the door where she opened it and saw Fenrir standing outside which caught her by surprise. ""What are you doing here?"" She questioned toward Fenrir as she held the door partially open while still using her body to bar any path into the house. </s>"
45,"<s>[INST] Fenrir took the money, ""New clothes? These still fit"" he muttered as he walked off towards an inn. Even though he clothes were really dirty and a bit tattered, he didn't see why he needed new clothes.
Alexander walked a very fast pace to the place where [/INST] the Queen was at. ""I am sorry to be so rude, your majesty. However, the Order told me to not delay. Is it true that a person, a girl as I hear it, is raising to the throne? As she is Windgracian by birth, we must speak to you before we can speak to her."" </s>"
46,"<s>[INST] Devilish witch! Luther exclaimed in anger though refrained from taking any action. As long as they held Chloris in their grasps, the odds were completely against him. A simple hmph came out of his mouth when he received the ring from the woman. He turned around with a serious stare on his face and pointed his book in her direction, ""I swear on the divine protection Phantasma Magorias grants me that you harm her even one little bit I will reign down hell and judgment upon you. I won't use Phantasma Magorias, I'll show you its true form which is a Sindel lost artifact that you will witness the power of if you invoke my wrath. Mark my words on that!"" He threatened as he walked away with the book in his hands and put the ring away in one of his pouches. He was rather aggravated about being used by this woman to do her dirty work. He had also lost all respect for his former friend Aodeos, if you could even call him a friend anymore. What surprised Luther the most is that he didn't know that someone like Aodeos could stoop so low as to use leverage against people.
""Hmmm..."" Aodeos turned his attention toward the roof interested then noticed four females that were trying to stay secluded from sight. He started to grin as he recognized all four of them and knew who exactly these girls worked for. Not only that, he also knew what they were exactly up to. ""It's not nice to eavesdrop, ladies. Why don't you come down here and introduce yourselves to us?"" He said toward them as they finally stood up and decided it was time to show themselves. They knew soon enough that someone as intelligent and aware as Aodeos would eventually sense them. He then began to speak to the four ladies as they all moved close to him after jumping down from the roof to the surface. But before he began he motioned toward Duress, ""I think the girl would be safer in Malice's hands. After all, this is her show and I'm only the host."" Right after he finished that first statement Duress pushed the restrained girl over toward Malice.
""Well ladies, why don't you all introduce yourselves to us?"" He pulled up his disguise enough so you could see his lips and him beginning to smirk. Not much was visible and you really couldn't get any real idea of what he looked like since all of his skin was covered in black robes. The three women were not amused by his antics and their eyes became a bit more fierce when he thought they would find him amusing at all. When they refused to introduce themselves he decided to introduce the four instead. ""The first pink haired girl in the skirt is the beautiful Princess of the former Valdaria Empire Mistress Melianth Rystaliuskal. Beside her is the other pink haired girl who is the unbelievable daughter of Melianth's deceased sister Valeria whom people thought didn't have one and also has the same father as Melianth's daughter Meira, Reala Valdaria. Then we have the silver haired maiden Miiarvanthalu Vanb'Rianthei who is the sister of the mysterious fourth girl Siianthaliae Axthrusia Vanb'Rianthei. I never thought I'd meet the two famous Sisters of Chaos who helped bring an end to the Great Elian War many years ago. It's truly an honor.""
'Shut up."" One of the girl's remarked not at all amused by the comments made by Aodeos. The girl's then drew their weapons and looked like they were about to enter combat when Aodeos shook his head. ""I think it's time you girls cooled your hot heads before someone gets hurt."" He said amused as he pointed in the direction of Malice's new captive Chloris. ""You wouldn't want anything bad to happen to her, now would you? Don't worry, you'll get your fight, but you'll have to be patient and wait like good behaved women.""
""Take the girl inside, Malice. We will handle this. They'll play nice as long as they know you have the girl and if they make any move I'll warn you. After that, take her with you and do what ever you please with her."" He spoke toward Malice as the four girls didn't take any steps forward or try anything heroic. Even the slightest mistake they knew could wind up getting Chloris hurt or even killed at worst. They knew that Luther would [/INST] dread that day if it came and wouldn't cease until he was dead and joined her or until the one who took the essence from her life was dead.
________________________________________________________________________________________________________________________________________
""You may rise."" Erialyss said toward Alexander. She didn't want him to think that he had to stay on his knees all the time since he wasn't one of her servants. It was respectable to honor and dignify those who were royalty, but one didn't need to feel the burden to humiliate themselves in order to achieve that. ""I will also hold you to your word. As the Queen, I must say I'm honored to meet you and that now we are working in collaboration toward a resolution which will bring an end to this silly war between Guardia and Rudoria. The Guardian-Rudorian War must be stopped, but I cannot get involved or that will tarnish the neutrality and reputation of the Kingdom of Windgrace; however, if Meira were to rise to the throne and assume her status it would help us to ally with her and provide her with aid. I know it sounds like we are using her social status to our own salvation, but we really aren't. Though you may take that way if you wish. Do you have anything else to inquire from me, Sir Alexander? That is before I retire to my bedroom?"" Erialyss queried since she didn't want to dismiss himself without answering all the questions he might have and do her best to give him the answers he was looking for if she could. It was the least she could do for his Order when he traveled so far to get to her location. The fact the Order he came from and her were close was enough reason for her to put her faith and trust into him. She knew that he wouldn't disappoint her.
________________________________________________________________________________________________________________________________________
Meira's hands were covered in blood that she gotten from her grandfather's clothes and the wound which was still bleeding badly. She didn't understand why he didn't at least let her treat it, but when he asked her to return home she refused at first. Telling her not to worry and that he would live to see her coronated before he died she made him promise her. After she made him make that promise toward her she got up from the seat she was sitting on and left the park. She wasn't in the mood for any of the sights and started on her way back to the manor. She took his sword with her which she gripped tight with her hand despite them being covered in his blood. If anyone saw her they'd ask her how her hands got bloody. She needed to hurry back as quickly as possible and try not to alert Ranathia that there was trouble she ran into earlier. She began walking steady but fast down the sidewalk as she passed by the sights she enjoyed earlier, but now was ignoring. ""Why..."" She said under her breath as she continued to walk in the direction of her manor.
________________________________________________________________________________________________________________________________________
Luther had finally reached an area where the ring was really starting to resonate. He then gracefully trying to hide there was trouble by the face he hid under walked toward the door of the place that the ring was resonating to. He was reluctant to knock on the door since he knew he would be leading this boy right into a trap. A trap set by that devious woman, but if he did not obey harm would come to Chloris. Despite his resistance to knock on the door he did so and called out to the person living there, ""Nathan, it's Luther and I know it's strange I come here and impose on you, but it's urgent. Someone's life is on the line and I must speak with you immediately."" He said as he knew how pathetic his words sounded. He hated getting other people involved in his own problems, but this time there was no alternative. He noticed the person who lived here was probably a poverty stricken child since the shack was all run-down and only someone who hardly had any money would live in such a dump. ""I'll repay you after you help me rescue her."" </s>"
47,"<s>[INST] Take a look at this then. Luther revealed toward Nathan a ring that the woman had given him earlier showing it to him closely. ""All I know is that she gave me this ring and wants you to come. This ring is how i found you."" He paused momentarily showing Nathan more closely and allowing him to examine the ring before he decided to put it away. He couldn't give Nathan the ring yet. Not until Chloris was safe, but for now he'd hold onto it until they returned.
""Anyway, She said it had to be me and she has taken Chloris hostage so the only one who I could naturally ask for help is you. It's most likely a trap so we better prepare ourselves for the worst."" He said as he tried to persuade Nathan to come with him. If he wouldn't do it for his reasons then perhaps the ring would give him a better reason to go with him. Luther knew it was a trap and was very aware that the woman who was holding his girlfriend hostage was not someone that you should underestimate. If she worked with Aodeos then she was probably just as dangerous as his old friend was. ""Look, the woman who is holding her captor said it had to be you. She's forcing me to do her own dirty work only, because she's working with a snake like Aodeos. I'll explain the rest later. We must hurry!"" Luther explained as he started to walk back in the direction of where he had come from earlier.
He wasn't going to completely take the same root back. In fact, he had a plan though he didn't want to say anything about it yet. He decided on parts of the route where he could actually take detours that would lead him to the back of the house could play a strategical advantage. If they could get behind the people who were causing problem then perhaps they could turn the tables and free Chloris in the process without having to give them anything in return.
________________________________________________________________________________________________________________________________________
Chloris followed the woman willingly into the house though she tried to reach toward her side to grab her father's dagger which was hidden. There was a special pouch that was built into her clothes that was able to hold it in case she got into these kind of predicaments. Her hands started to move slowly toward the pouch so she didn't arouse any suspicion toward the woman that she was up to something. If she could get the dagger then she could work on cutting her wrists free. Slowly making her hands toward the pouch she flipped it open and pulled out a slender short bladed small dagger which she took into her hands. She slowly and gently without alerting the woman she was up to something started to cut away at the ropes with its very sharp blade.
""Lady Siia, it's been a long time since we last confronted each other."" The sneer that beamed up across his face was enough to invoke the flames of enmity and discomfort for the other girls. They really did not like Aodeos, but they knew how very dangerous he was along with those who were affiliated with his cult. Aodeos was one of the most powerful cult leaders in existence though Siia knew he erased his very existence from records by using time jumping. An effective method toward avoiding detection on the chronological scale and making it completely look like you're nonexistent. It was a strategy that Siia had employed in the past to win the various wars she war when she used to be a strategist and advisor. It was really unknown why she was with three other women, but it was obvious they were all there for one reason and that was the AoD Cult leader. Siia ignored Aodeos humor where she brought herself to say to him while remaining calm and composed, ""I don't really care about our past meetings.They only thing that is important to me at the moment is making sure you stop breathing. Until you do, I'll never be satisfied.""
""Such vulga [/INST] r words from a heartless woman."" Those words were enough for him to crack another grin at her which in return caused her face only to glower. This brought amusement toward Aodeos since he enjoyed to watch the heartless ice queen frown at him. He was very much turned on by her icy cold gazes that laser beamed across the room and the frigid smiles that could freeze like a Medusa. Her words were so forceful and passionate that it brought glee toward his humiliation he brought upon her.
The pink haired girl wearing the skirt had a more serious look embracing her face and her eyes burning with the flames of indignation. He knew all too well about her painful lightning she wanted to bring force in brute force and punish those who dare use others like they were pawns, especially to force leverage upon others who they could forcefully use as servants holding leverage on them all the while. ""You might think this is funny now, but you won't be laughing when we are done with you!"" Melianth exclaimed as she drew her two swords into her and prepared herself to combat these people.
The silver haired maiden turned her attention toward the other pink haired girl ordering her to follow the woman who walked off with the hostage. ""Reala, pursue that reprehensible woman. Siia and I will hold the front from here. You must go right after that woman, because the girl she has in her clutches might be in real danger."" Miia alerted Reala as the other three women were going to stay behind to deal with Aodeos and his cronies. Miia had heard about the history of that woman before and leaving that girl in her hands was really a bad idea. Since the girl was restrained that made it easier for that loathsome woman to control the situation. If they could surprise her from behind then perhaps they could make everything more favorable for them.
""I'm on it!"" Reala remarked as she jumped up on the roof and when Aodeos ordered his men to stop her that is when Melianth barred their path allowing her clear path toward getting to the back of the house. Reala made her way swiftly but with complete stealth toward the other side of the house while the other three battled Aodeos and his men. She was a bit worried about Melianth, but when she looked back she saw her wink at her which only made Reala nod and stay on task.
Siia and Miia both stood right in front of Aodeos while Melianth confronted the member of his Ten Gods Wisemen Duress. Siia and Miia had rather very serious expressions on their face where Aodeos remained calm as ever. He didn't even flinch nor did he show any sign of fear or discomfort. He grinned at the thought of having to face two of what he thought were the most beautiful women he had ever seen. Miia had a beautiful personality while her sister Siia had all the looks and was more beautiful on the outside than Miia. ""I must say, it's truly an honor to get to face the two Chaos Sisters."" He remarked with a sneer that widened on his face as he drew his scythe chain hook into his hand.
Duress had a very calm and composed look on their face too. They weren't at all taken back by the one many called the Holy Knight of Elia. They knew there were a lot of people out there who both loved and hated this person. Duress wasn't really a fan of them, but this was a challenge that was worthy of his recognition. Someone who would test Duress skill and make him have to utilize all his abilities to win. ""So you're Meira's mother?""
""Meira's mother? Who is Meira?"" Melianth questioned not having any idea who that was and when she was distracted by that is when Duress attacked and managed to knock her off her feet, but when he tried to follow up she recovered where he stared at her with a smug look on his face. ""Rule number one, don't become distracted. The fact I distracted you with that statement was enough for you to let down your guard."" </s>"
48,"<s>[INST] Whizzle leaned on the railing of the building's second floor thinking where he should go after safely getting away from the hazard library, the borrowed tome balanced on the top of his head as he looked [/INST] downward and saw Meira marching with a bloodied sword and hands. She looked upset, which he took as an invitation.
""Oh, that's a familiar looking sword, did you partake in a pre-dinner robbing?"" he said. </s>"
49,"<s>[INST] Chloris looks over toward a corner and notices a pink haired girl in hiding. She signals toward Chloris to duck when she tells her and cover her ears, because she holds a crimson ball in her hand which she is about to deliver to the ground with massive force. Right before she gets the signal she tries to warn Luther with her eyes about what is going to happen. Just at that time she manages to cut the ropes away on her chest as they fall to the ground where she is completely free. The only thing left is to remove the gag between her lips, but she can't do that yet without Malice suspecting something. Right when that happens she sees Reala deliver the ball created to the ground with massive force where she exclaims, ""Howl like a banshee and impair their hearing! WIND HOWLER!""
A small crimson ball of energy not meant to harm is delivered into th [/INST] e ground which screams and shrieks loudly like the deadly howling winds of a hurricane as Chloris finally plugs her ears then tilts her head back and butts Malice in the face then runs over toward where Luther is. Luther manages to plug his ears too as the sound is so violently that it can easily cause damage to the eardrum if a target listens to it for too long. Luther looks over toward Chloris as he grabs her asking if she is all right where she nods at him. She then grabs her sword which they stuck in a corner into her hand and stands with Luther and Nathan as Reala moves in position to block the front entrance toward the door outside. While she guards the entrance, Chloris is finally scene pulling her gag out of her mouth where it hangs around her neck like a necklace. She is relieved that everyone managed to get out of that in one piece. </s>"
50,"<s>[INST] I'm seriously not in the mood right now, Meira glowered. ""Are you here to annoy me now? Right now I don't have time to bother with idle jokes. I must return to the manor and rest my head for a bit so if you don't have anything important to say then I'll be on my way."" Whizzle raised his eyebrows and started to chuckle, even as Meria continued. ""Also, this sword belongs to my mother's father and no I didn't steal it from him! Do you take me for a hooligan? Don't compare me to you! He's... he's... he's..."" She started yelling. ""Nevermind, it's not important!""
It was at this point that Whizzle laughed, causing the tome on his head to fall down to the floor before he caught it. ""Aww, how can you tell me [/INST] that what I'm doing is not important when you yourself can't decide what is? Oh, maybe you're that sort of person that thinks everything and everyone not me are not important now? And how am I comparing you? I've always thought the only person you can compare yourself with is yourself,"" he said before faking a face of realization. ""Ah, maybe you are comparing yourselves! Well, that's a bout of self-depreciation then, calling yourself a hooligan like that. Can't say that there wasn't a reason for it but hey, since I'm you, I should be able to remember it. Let's see...""
Whizzle focused on Meira and concentrated as he proceeded in trying to pry open Meira's head and read her memories and thought.
---- </s>"
51,"<s>[INST] Whizzle blinked to the girl that floated in front of him. He took a glance at Meira's direction, who had apparently slipped back inside. With a shrug, he returned his attention to the sole other person nearby that he could talk with.
""Mo? Moneybag? If that is [/INST] what you think of your friend, you have an issue,"" he replied flatly before trying to read Selest's mind as well. Although his attempt now was more of a playful pokes to test her defenses. ""Besides, it just shows she needed more training in this department."" </s>"
52,"<s>[INST] At the time of the explosion, the three other girls had taken their fight up into the sky completely evading the explosion that occurred earlier. They didn't even notice that Chloris had been rescued at the time which was who Luther and Reala were both holding back from foolishly attacking the dangerous man Miia and Siia were both facing off against.le Earlier it was revealed by her that he had murdered her parents, a fact that the two girls going up against him aren't aware of yet. Melianth is parallel from the two girls taking on Duress by herself. The fact Siia and Miia facing Aodeos make look like he has the disadvantage, but so far he has been able to hold his own in the fight. He has yet to display any weakness toward the two sisters who have been trying to figure him out to avoid his trickery.
Melianth on the other hand is trying to determine a way to get close to damage Duress without having to leave herself wide open for a counter. She noticed when she tried to use Endless Massacre of Double Slashes which were lightning fast sword strikes that Duress manage to avoid them all that speed alone wasn't enough to defeat Duress. If she were to get a decisive strike she would have to find a way to get Duress to drop her guard or try to force her to get aggressive. The problem was Duress was a defensive type fighter and wouldn't attack unless you attack her first. This made it even more difficult to figure out a way to get around her defense.
Generating energy into her sword Melianth heads toward the ground which confuses Duress. Duress doesn't quite know why Melianth went toward the ground where they followed, but when she touched the ground that is when Melianth went on the offensive. Melianth took her sword and slashed out twelve earth burrowing swordwaves that moved in all directions in order to surround Duress making escape difficult. ""Interesting."" Duress said impressed as she noticed Melianth manage [/INST] d to force Duress to start getting offensive due to the change in her strategy. Duress swung her chain-link sword around striking all of the earth burrowing shockwaves, but Melianth caused them to disappear when she thrust her sword into the ground deep. Duress didn't quite know what Melianth was up to. The fact she made the waves disappear caught Duress by surprise. She didn't know if the attack was just a ruse or if she was up to something. Melianth's sword was stuck in the ground which was a golden opportunity to attack her.
""I don't know what you're trying to pull, but now your guard is down!"" Duress yelled as she made for a straight toward Melianth. Melianth didn't move at all while he was coming straight at her. She was anticipating this where she waited patiently for what she was about to do. When Duress tried to strike Melianth she immediately let huh slip out of her mouth when Melianth did a backflip backward. ""I won't miss twice!"" Duress yelled as she tried to wrap Melianth up with her chain-link only to have her vanish in thin air. ""What kind of trickery is this?"" She questioned to notice that Melianth extracted her sword and had said the words Requiem Force Reverse Parallel. Duress grinned knowing full well where the attack was coming from when she saw the swordwaves coming at her. She jumped into the air and her eyes became big when Melianth grinned the words 'got you' is when she was hit with a barrage of them. Her attack exploded which sent Duress sailing toward the ground after the explosion cleared sending her right into the house that was still standing just barely.
Miia pulled out one of her Elan bomb when Aodeos managed to knock Siia off balance throwing it right behind him. Aodeos didn't even see the attack coming where she detonated it which knocked him backward hitherto he used the energy from his aura to recover. Miia asked Siia if she was okay and she nodded at her that she was fine. </s>"
53,"<s>[INST] So...any chance you know something about this guy? Like how he fights or something? I really don't like to go into a fight blind, so any Intel would be really appreciated. Nathan said toward Reala as she tried to think closely about how Aodeos fought. She remembered her mother explained to her that Aodeos was both an offensive and defensive type of attacker who used strategy and planning to best hist targets with. Melianth warned her that he was very dangerous when on the defensive as he used people's attacks against increasing the power and damage that can be accumulated by them.
""Aodeos is a really hard to predict strategist that uses his own strategies to overwhelm his opponents with. Attacking him carelessly will cause him to stay defensive and if you leave an opening he'll take advantage of it meaning letting down your guard means he'll go on the offensive. So the type of attacker he is you can say [/INST] he's a strategist kind. Yes, he would send your attacks back at you, but with a catch. He absorbs your attack increases the power of it and returns it to you with even more destructive power than it originally had."" Reala revealed toward him as she saw Siia and Miia were still just standing there and that Aodeos wasn't taking any action at all either. The three looked serious though Aodeos a bit amused since that same grin he always wears is still implanted on his face. Duress just stares from below on the sidelines as she knows she is in no condition to be fighting anymore after taking damage from Melianth's attack.
""Ready whenever you are ladies."" Aodeos grinned at them as he also turned one blind eye to see Reala and Nathan had emerged from the structure that had been just destroyed. He remained on guard while he strategized once again to help him determine the right strategy for fighting these people. </s>"
54,"<s>[INST] Alexander saw Meira reach for her weapon, but stop. ""There is no need to violence. I just wish to speak to you."" he then walked inside as proper when he was invited in. ""Why, you act like you never heard of the Order of Paladins, we have been standing strong for generations, and I can also see you're a bit skeptical. I guess this is a bit unorthodox, trying to align with a kingdom that hasn't even been properly formed let. But, we do have our reasons [/INST] for such haste.
""Darkness is coming to Holyoke. I am not referring to the armies of Guardia and Rudoria, petty wars are bound to happen and normally sort themselves out. However, the Order has detected much eviler forces at work. Things of witchcraft, treason, and cults, and possibly things that not even I have been informed about, possibly even outside of the knowledge of my superiors. When the evil is at Holyoke's door, the Order plans to be ready."" </s>"
55,"<s>[INST] Hahahahah, you still don't get it, do you? The strange man grinned as he activated his glyph and detonated both glyphs into the sky. When the glyphs exploded they let black aura pour out of them as he continued to laugh letting the flames consume him. ""You managed to defeat my toy? How amusing. You put on enough of a show for me today. Besides, one death only means another born anew. I'll continue to be reborn until you figure out what is going on, ahahahah!"" Only problem was even when he had been consumed by the flames, he was still laughing. This was an indication to the group that the version of Aodeos they fought was a humuculus. Siia and Miia both were confused until it hit them about that technique he had used earlier. They noticed a slight difference in the one that he was about to use on Nathan. He never snapped his fingers when they attacked him with Sadistic Masochist which meant at that time he swapped places with a humuculus. They figured that out when he phrased 'one death only means another born anew' which indicated that that this Aodeos was a humuculus he created.
Miia and Siia both examined the area noticing [/INST] that there was no one else around other than Reala and Melianth who were on the ground. They turned their heads to notice that the girl Melianth fought earlier named Duress had disappeared. Both girls knew there was something strange about that Aodeos, because of the way it used its magic. Both knew Aodeos never snapped his fingers when using a spell or technique since he never needed to. Both thought to themselves while trying to collect the rest of their thoughts. So if this one is an obvious fake? Then where did the real one go? Something about that technique he used on us earlier doesn't add up. He never projected a portal behind him. Which means he switched himself out sometime before that attack took place. Meaning there's another person who is here that is unaccounted for. But who? They both question in their mind as they survey the area.
The sky starts to laugh as the voice fades away, ""I'll leave you all to try to figure out what just happened. But I know for a given fact that you'll never figure it out. Hope you had fun with my puppet. We shall meet again."" Those were Aodeos final words before the voice went silent. </s>"
56,"<s>[INST] Now that the fight was over, the four girls separated going their separate ways for now. Siia, who was the youngest of the group appearance wise, decided to head into the marketplace and pick up the bread she ordered. She didn't like the part of town she picked the bread up from, because it was known to have some really bad people at times. That part of town was known for the scum who liked to sexually harass women. When Siia went strolling by the group that earlier was flirting with girls and sexually harassing they decided to follow the pretty little teenage girl wearing an angelic white dress that flowed down toward her knees.
Siia walked over toward the place where she picked up her bread. Though when she got to the place she noticed the original clerk wasn't there. She was a bit curious why he wasn't there since everytime she picked up her bread he was there. She didn't really want to say anything to the smelly guy who she could smell from where she was, but she wanted her bread so she decided to approach him regardless of his pungent stench. The guy had a wide grin as he approached where he greeted her like any normal clerk, ""How may I be of service to you, missy?""
The fact the man just called her ""missy"" made her frown. Never has anyone called Siia ""missy' before and this was certainly a first. She was starting to suspect something fishy was going on, but unless in self-defense she wasn't allowed to utilize her magic. ""For one it's not ""missy"" and two I came here to pick up my order."" Siia sighed at the man bored by how he was trying to impede her by addressing her like what she would call a moron. She handed him the money anyway where he handed her the bread.
Little did she know that the man behind the counter had changed the price on the bread she bought. When she tried to walk away three other smelly individuals stopped her from leaving. The man at the counter was yelling at her as she turned her attention toward him. ""HEY, YOU BITCH! You think you can short change me and get away with it?""
Siia turned around while she placed her hand near her sword just in case the three hooligans behind her tried to creep up on her. She frowned where her a serious expression lit up on her face and her eyes became fiery when she looked at the fact someone had modified the price after she had left. ""WHAT THE HELL ARE YOU TRYING TO PULL!"" Siia yelled at the man as her voice echoed in the vicinity. She knew the man had changed the price and that he wasn't the owner of the store. She was a bit curious how he was running the shop. Before she could ask he peered right into her ice with a sinister grin on his face, ""Why don't you just take off that dress and we'll call it even?""
Siia was enraged when he tried to get her to take off her dress. She knew the man was being a pervert. She couldn't do anything since they weren't doing anything illegal and if she drew her weapon she would be in the wrong. She thought dammit in her mind, because of the fact this man was playing her for a fool. The man became impatient where he signaled toward his men to surround the girl so she could not escape. ""I think I told you to take your dress off, so do it a [/INST] lready!"" This time he climbed over the counter and grabbed her arms suspending the above her head and pin them against a wall. ""Are we going to do this the easy way or do you want me to do this the hard way and get rough?""
""Get your hands off me, you pervert!"" Siia yelled as the man had her hands pinned up against a wall suspended above her head with one of his hands. He grinned as he sniffed around and enjoyed the essence that came off her. The man once again demanded, ""I'll let you go when you pay me the rest of what you owe. You can either give me your dress or I'll take the money out of you another way. So what is it going to be?"" His grin became even more wide since he would get his way either way. Siia was furious, but there was nothing she could do while she was in the position she was in. She couldn't even bring her leg up to kick him, because he pinned her against the wall tight.
________________________________________________________________________________________________________________________________________
""If he wishes to speak to me alone then I will honor his request."" Meira said as she looked over toward Ranathia who was very upset and threw herself up from the table not liking how she had to trust this person she hardly knew. Though if that is what her liege desired she would honor her wish even if she didn't like it. She didn't want to do anything to displease the one she was meant to protect.
Meira felt a little guilty telling Ranathia to leave. She knew that Ranathia was very upset and that she was probably going to vent out her later for her decision, but this person might have valuable information. She knew Ranathia didn't trust anyone that she didn't know despite their social status, but knowing it was a knight from an order made Meira put her faith in him and listen to what he had to say. Perhaps she could learn something from all this.
Ranathia walked away from her seat with a very serious look on her face. She stopped for a moment in front of Alexander and placed her hand down near him as she faced to face to face. She intended to let him know how she felt about having to leave as she ordered her maid into the other room with her dish. ""If her highness wishes to speak to you alone I will honor her wishes, but I'm not doing this for you. Don't get any ideas that I am getting friendly with you, because I'm not. I don't know about this order or if you're a reputable knight nor do I care right now. I trust no stranger that waltzes in this house especially foreigners."" She paused for a moment as she drew her blade and let it rest on the table, Meira was about to object where Ranathia gave her a gesture that she wasn't going to do anything. Just let this person know that she wouldn't tolerate anyone using her liege for their ambition. ""I will warn you, if you are using or planning to bring harm to the princess I will cut you down where you stand without blinking an eye. Do I make myself, clear? Now if you'll excuse me, I'll go see if my informant has returned from Guardia."" Those were her final words as she sheathed her sword and walked away with a very disturbed and suspicious look that was on her face. </s>"
57,"<s>[INST] The words ""ah great"" were enough to disturb Selest's mind. She felt bad for coming uninvited due to the fact the boy inside sounded very tense for some reason. From the sound of it as Selest took into comprehension each word he spoke, it sounded like he wasn't having the best of days. She didn't know if she should introduce herself or leave. When she thought about leaving she shook her head saying to herself that would be rude. He did come all the way to greet her at the door though she was a bit nervous to actually meet with the man. His tone alone made her unsettling where it was hard to think and even more difficult for her to speak toward Nathan. He probably wanted to know how [/INST] she knew his name, but she knew even if she were to tell him that he wouldn't believe her anyway. Her mood shifted to an apologetic one once she learned that Nathan wasn't too happy about her presence.
""I'm so sorry, I didn't mean to disturb your peace. Perhaps I should come back another time."" She said in a troubled tone since it was obvious the girl was flustered about something. She didn't really make it clear what was bothering her, but judging by her body language and movements let alone the tone in her voice was enough to give hint that she was feeling very uneasy at the time.She tried to hide part of her face to prevent him from ever noticing and looked at him with one eye. </s>"
